reference product,prod_category,prod_sub_category,ISIC_name,ISIC,CPC_name,CPC,code_EI
"hard coal, run-of-mine",OreMinFuel,"Ores, minerals & fuels",Mining of hard coal,510, Hard coal,11010,8db93a2ecb04f6e5557382c623cedb15
lignite,OreMinFuel,"Ores, minerals & fuels",Mining of lignite,520, Brown coal,11030,570bee7429333a8101a45527b3ad4976
peat,OreMinFuel,"Ores, minerals & fuels",Extraction of peat,892, Peat,11050,d555d7c9b48e020ff9106497c64eb18c
burnt shale,OreMinFuel,"Ores, minerals & fuels",Manufacture of other non-metallic mineral products n.e.c.,2399, Bituminous or oil shale and tar sands,12030,bb079a870a6a9157fa492939af831cff
iron ore concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of iron ores,710," Iron ores and concentrates, other than roasted iron pyrites",14100,139f2c131bca87ec43acb70b697b8882
"iron ore, crude ore, 46% Fe",OreMinFuel,"Ores, minerals & fuels",Mining of iron ores,710," Iron ores and concentrates, other than roasted iron pyrites",14100,bb4c252603984021028d1439aedf28f1
"iron ore, crude ore, 63% Fe",OreMinFuel,"Ores, minerals & fuels",Mining of iron ores,710," Iron ores and concentrates, other than roasted iron pyrites",14100,84a307c0a01af1f09322fc0e2e29f55b
portafer,OreMinFuel,"Ores, minerals & fuels",Mining of iron ores,710," Iron ores and concentrates, other than roasted iron pyrites",14100,05d422c69bcbcae3f229479da0435059
"nickel concentrate, 16% Ni",OreMinFuel,"Ores, minerals & fuels",Manufacture of basic precious and other non-ferrous metals,2420, Nickel ores and concentrates,14220,eec3140248495d678ba9799075b09c29
"nickel concentrate, 7% Ni",OreMinFuel,"Ores, minerals & fuels",Manufacture of basic precious and other non-ferrous metals,2420, Nickel ores and concentrates,14220,c6fc6fe12ad72f0f345e531dc8fc3f95
bauxite,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,866849b96d8b41acdbef8d31bf4dd85e
bulk lead-zinc concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,3aad8e0aaaf7c75f86897b96a75ce1d3
chromite ore concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,b0a5c731ded28d7b488f9164bf28ff80
"copper concentrate, sulfide ore",OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,9f0ba947cb900312680c36e29d40af32
lead concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,63a9b06ed9d74b4c28e1dfe726ac80ef
magnesium oxide,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,307b8ea2d0bc2bef8f62033ee6401356
magnesium sulfate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,9bfefc4eecdefe02de607b7970bb6c95
manganese concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,770bbd3163e44f137affcef681ffc2b2
pyrochlore concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,a641e5012f051581c047a979382a988e
stibnite concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,37a6c0f8f17273941da3cf7fd5945b22
"strontium sulfate, 90% SrSO4",OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,89fa7533332bbf8914c7dcfe1feaaba4
tungsten concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,015c6111dd95c0359de96d64b9904d37
zinc concentrate,OreMinFuel,"Ores, minerals & fuels",Mining of other non-ferrous metal ores,729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,11a56430f0d71b80b18dfa928f123a09
"gallium, in Bayer liquor from aluminium production",OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,0ea1f9234ca9e304f5063c372ed4cc79
titanium dioxide,OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,799f235f02c1cbadf78275969845dbed
calcareous marl,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Marble and other calcareous monumental or building stone,15120,f41eaf10868ff20e7c5b3402483a2609
basalt,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Granite, sandstone and other monumental or building stone",15130,75e840c1dc0c3d48ce11d5bcfbfc8a3d
anhydrite rock,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,86f9d67e1ddc00373ec4dc2dfe592b02
"gypsum, mineral",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,e8e5585f2e5bf08c7a9548fbbe62817f
"limestone, crushed, for mill",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,234155f73a26c116e15b1fba7d53b9ce
"limestone, crushed, washed",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,4eeff476fe71035a8157ea8f53a57c3f
"limestone, unprocessed",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,335c21ccc9ff80864873050326f0a731
anhydrite,OreMinFuel,"Ores, minerals & fuels","Manufacture of cement, lime and plaster",2394," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,245493eb23a9d45703f506eb3e6430e8
"anhydrite, burned",OreMinFuel,"Ores, minerals & fuels","Manufacture of cement, lime and plaster",2394," Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",15200,b2f10314e558c6c208a0f8fac5ea4e64
sand,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Natural sands,15310,c84a6f14093215212da9606cbec0ea3d
silica sand,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Natural sands,15310,2d2c214bf51b9027a74196f96d613dbd
"gravel, crushed",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone",15320,556a4db9aeaf19194f80df157fe0157d
"gravel, round",OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Pebbles, gravel, broken or crushed stone, macadam; granules, chippings and powder of stone",15320,c1dc39b3e388beb8a4543d5ba41cb3e6
bentonite,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Clays,15400,3850c3b38b80b4546773d07d22f6226d
clay,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Clays,15400,3f6359fddba7621193df82a0aaa50080
kaolin,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Clays,15400,e023473c556193ea94bd92d485b1361a
activated bentonite,OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011, Clays,15400,7b1a92161ee082b68d266ad5c3fd27de
intral,OreMinFuel,"Ores, minerals & fuels",Mining of chemical and fertilizer minerals,891, Unroasted iron pyrites,16120,82c8428cc01a789e72eecaf8d8b02b23
"fluorspar, 97% purity",OreMinFuel,"Ores, minerals & fuels",Mining of chemical and fertilizer minerals,891, Other chemical minerals,16190,2eca625fed4ec15a5801920e79bcc616
sodium borates,OreMinFuel,"Ores, minerals & fuels",Mining of chemical and fertilizer minerals,891, Other chemical minerals,16190,8af27ed48a2e0c9899b83ce1bbbc992d
salt,OreMinFuel,"Ores, minerals & fuels",Extraction of salt,893, Salt and pure sodium chloride; sea water,16200,2a9d183ccfe29780aa0fb72304b82a00
"sodium chloride, brine solution",OreMinFuel,"Ores, minerals & fuels",Extraction of salt,893, Salt and pure sodium chloride; sea water,16200,bfa9b502795649dca27561950da1a197
"sodium chloride, powder",OreMinFuel,"Ores, minerals & fuels",Extraction of salt,893, Salt and pure sodium chloride; sea water,16200,14489a2da0aa7b3c633c2b8f67e61e9d
pumice,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810," Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natura[…]",16320,3732118b2a75a91588db5ca915f7ee7c
dolomite,OreMinFuel,"Ores, minerals & fuels",Mining of chemical and fertilizer minerals,891, Chalk and dolomite,16330,093eb2a2b71ef9ee0e4f5c72ea4e1b03
feldspar,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals n.e.c.,16390,ccebb999cfeb5fbeb8321b39a6641056
malusil,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals n.e.c.,16390,19b717edadd9841cb9dbb7a1dae2e8b7
perlite,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals n.e.c.,16390,3c65c2d7d50b1ecc29a2fbb4dcd4b989
steatite,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals n.e.c.,16390,7a97e63d078a268566ae9278f931d915
vermiculite,OreMinFuel,"Ores, minerals & fuels","Quarrying of stone, sand and clay",810, Other minerals n.e.c.,16390,a692f29c377774b10e0213b7529e2473
"asbestos, crysotile type",OreMinFuel,"Ores, minerals & fuels",Other mining and quarrying n.e.c.,899, Other minerals n.e.c.,16390,11ecdf46a4b803764fb1a8fece39a484
graphite,OreMinFuel,"Ores, minerals & fuels",Other mining and quarrying n.e.c.,899, Other minerals n.e.c.,16390,205fc139aead5cd3f88f570426879033
"sodium nitrate, unrefined",OreMinFuel,"Ores, minerals & fuels",Manufacture of fertilizers and nitrogen compounds,2012, Other minerals n.e.c.,16390,ef2f61c65d988904ffb0aa55277e61c4
"steam, in chemical industry",OreMinFuel,"Ores, minerals & fuels",Steam and air conditioning supply,3530, Steam and hot water,17300,04bd55d4038fb6b106f281f15b38a864
tap water,Chemical,Chemical products,"Water collection, treatment and supply",3600, Natural water,18000,3f8708974132cdbab4f9c8c5a88f0409
"water, completely softened",Chemical,Chemical products,"Water collection, treatment and supply",3600, Natural water,18000,1bdb49e4f609a92e7d444d067d08df57
"water, decarbonised",Chemical,Chemical products,"Water collection, treatment and supply",3600, Natural water,18000,0e72b65023505db04f7602cbd453e965
"water, deionised",Chemical,Chemical products,"Water collection, treatment and supply",3600, Natural water,18000,4f4045915dccb0da2e7fcfc21051de08
"water, harvested from rainwater",Chemical,Chemical products,"Water collection, treatment and supply",3600, Natural water,18000,e65a795abd16d0e05ca8a717024ff929
benzene,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Coke and semi-coke of coal, of lignite or of peat; retort carbon",33100,a3a0ba63d3b6d8f0b49da618c4c3527f
naphtha,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Naphtha,33330,44de2068593c5abe2cc9270446a0720f
diesel,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Gas oil,33360,ac5f898b52f31945c5173ff81b9a8d38
"diesel, low-sulfur",OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Gas oil,33360,02e696daa73642ad1d48df155b41194c
heavy fuel oil,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Fuel oils n.e.c.,33370,5755a9a28d8db9a929a657a63d46ff75
light fuel oil,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Fuel oils n.e.c.,33370,f1111578487f0ba5cbaf9b5aeeef7861
lubricating oil,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920, Lubricants,33380,51dc18e385bd680e080f597a40631007
isobutane,OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011," Propane and butanes, liquefied",33410,f24918f25f4cc82e31082ceac02e32c0
propane,OreMinFuel,"Ores, minerals & fuels",Manufacture of basic chemicals,2011," Propane and butanes, liquefied",33410,0e1cf7f4f6646d704bcd5eff265d0d68
"butene, mixed",OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Ethylene, propylene, butylene, butadiene",33421,2ff403d2792480b0ad9fb0f9861612b6
ethylene,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Ethylene, propylene, butylene, butadiene",33421,9f4de31870b0f359710ec9265c1bf218
"ethylene, pipeline system",OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Ethylene, propylene, butylene, butadiene",33421,96d5365cde8cdfd0a238dea6e64c203b
propylene,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Ethylene, propylene, butylene, butadiene",33421,efa9941683a36247771e4a7ef5952275
"propylene, pipeline system",OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Ethylene, propylene, butylene, butadiene",33421,4920b84cbf24a7b0c093d13169d60696
refinery gas,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Other petroleum gases or gaseous hydrocarbons, except natural gas",33429,9e599deda5d4d86ae6090251813110d9
paraffin,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]",33500,120758d0dcafdbb875f17174eb4ea98d
petroleum slack wax,OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]",33500,aabb340b48838d97f7672fa92b2377e9
"wax, lost-wax casting",OreMinFuel,"Ores, minerals & fuels",Manufacture of refined petroleum products,1920," Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, […]",33500,8ef5a578b4e2ec54b8332cfb99f1cfab
2-cyclopentone,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,4c514ebcae866ba545d1ca3b08ba0635
"2,4-dichlorophenol",Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,29da6b059104d889689b36d10c7c9445
"2,4-dinitrotoluene",Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,795cb4bde8cbf82c1070835187f8ba25
carbon tetrachloride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,897a44e8912349d07e872af551060247
chlorine dioxide,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,5de2d2deb2b5ad068d3f8fd2f3f59abe
chlorodifluoromethane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,f682274fa67f0e0ef23338776ba5ad73
cumene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,c3a025db266090726e87965cee26c893
cyclohexane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,7faa749e5913181d46c0cc1a505033e9
dichloromethane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,9422aaef9cc32caf0b9b2e80bad97479
ethyl benzene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,eb6f7c6497bb28953dee03e9da50040a
ethylene bromide,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,6ff54a067e40865bc2f8181f9e598378
ethylene dichloride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,66f7bd2f59066b243d9c67b75413ced5
hexafluoroethane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,8b37b139b2617c6909028c9328473880
methallylchloride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,cad626f08547483f1a6acffcbc2b358d
methylchloride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,1b603eef0ab4f0dbdb1b9f5ccbf74971
methylcyclohexane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,3fc39e79bb0d73621f73503d3a7ba10a
monochlorobenzene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,e39a2ebe692b5c3db4fd794c62e32a06
p-dichlorobenzene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,22733de5db9d8fdca3fd0d84ecbd833d
phthalic anhydride,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,ae0f1ffe93010659118b1a3a6ed7708a
sodium cumenesulphonate,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,95bf52d9c82aa0d30d7c12574c77e65e
tetrachloroethylene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,3b9a28e1d79c7e1ed65140bcd62d4e1e
"toluene, liquid",Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,bd8ed6484906838dac0b10a966b1bfb6
trichloroethylene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,87c45aac01d928fbe06b104f492f61b7
trichloromethane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,87bf52c8f52aba666e9b5482084a7a50
trifluoromethane,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,f2da4ec7fa6680be91ef7325141e80bd
xylene,Chemical,Chemical products,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,2ebb5eb7508b11e84eb7ce00531c5413
"acetic acid, without water, in 98% solution state",Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,da854e288f560c4d61cac6b4d936edcc
acetic anhydride,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,282aa0a75ea536483a5ab0c41b4de5cd
acrylic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,ea3c0b67de2a3d7acd4e74d938a96058
benzoic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,6dc53d4ecba541b0bb8d8ea50aa57338
chloroacetic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,ba571a002647bbd3f9c89bb4650bd95a
ethyl acetate,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,45482fdb16891152f6c84fcb9419d19b
fatty acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,da12dc6eb019eb1da4bb58c1f9dc10ea
formic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,8e58960c8eb24a585ed04f2c8ac6c5c1
propionic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,91853c8442cb2da39cd1f974798288b4
trichloroacetic acid,Chemical,Chemical products,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,92611d024c26dbe1982cd0202ae39420
1-butanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,be3dd35484e11a2ffc5ed07d7ce6e165
1-pentanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,da45595a73287d5170065581a6a2e857
1-propanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,3c24268d3b6aceba0b4d011e2dbdde00
2-butanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,918b875ab57a36f446f236d93aed07ad
"2,4-di-tert-butylphenol",Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,e6325e2dce1695d4c0a65b296980b74e
"2,6-di-tert-butylphenol",Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,c0d1fa376247a90bf9de93334b8e4476
3-methyl-1-butanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,3ae3eb4df3627bd7427729c84ba824d5
benzyl alcohol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,7834950352e7a6aaacac0da79392f4b5
"bisphenol A, powder",Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,23e2d954ca1dbbd638447fe02bb38226
cyclohexanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,363fc002deafa2f0ab7b466001a9dcd3
dimethyl hexanediol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,48605a8bc5099bb18e648356a1e9501d
dimethyl hexynediol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,c239fd56c026b13c901a595a0af5ed64
dodecanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,dc23eda81d85dcd62013e307c2ec397b
fatty alcohol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,c00e1b3803ff7f23f55b720b9f8f3be1
hydroquinone,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,4993d100da335b12616b6fda9ba51527
isobutanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,5e3dc256c9c1d43c710ca7f731da0853
isopropanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,9a26fd7ebcd0cb78ffb799c2bf4e639a
methanol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,e72de17b7e3d94514b5f5e569ee3eb68
"methanol, from biomass",Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,40c2ded581849dbf3b6da7dd639b5895
o-cresol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,185499e86a028bc6b136c3e63e405ee6
o-nitrophenol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,44be5ea79778e01abb3d82e1ba9c439b
p-chlorophenol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,64670b683ff570d4119fb2e3bd9964f7
pentaerythritol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,0051009f8bc7debc074282d440dc5ea9
phenol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,8c73eb69bd0d5342ccdb0d801178190c
"propylene glycol, liquid",Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,25359e1de1d2c506d69d02fd26920ee3
resorcinol,Chemical,Chemical products,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,10ca016efd345ca1db2c8561d8196f67
